Sl No.,Bank Code,Bank Name,Branches
112,PMEC,PRIME COOPERATIVE BANK LIMITED,38
113,IBBK,PT BANK MAYBANK INDONESIA TBK,1
114,PSIB,PUNJAB AND SIND BANK,1544
115,PUNB,PUNJAB NATIONAL BANK,12354
116,QNBA,QATAR NATIONAL BANK SAQ,2
117,RABO,RABOBANK INTERNATIONAL,1
118,RRBP,RAJARAMBAPU SAHAKARI BANK LIMITED,47
119,RSSB,RAJARSHI SHAHU SAHAKARI BANK LTD  PUNE,16
120,RMGB,RAJASTHAN MARUDHARA GRAMIN BANK,719
121,RSBL,RAJGURUNAGAR SAHAKARI BANK LIMITED,19
122,RNSB,RAJKOT NAGRIK SAHAKARI BANK LIMITED,1
123,RDCB,RAJNANDGAON DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,43
124,RATN,RBL BANK LIMITED,486
125,RBIN,RESERVE BANK OF INDIA,63
126,SAHE,SAHEBRAO DESHMUKH COOPERATIVE BANK LIMITED,18
127,SBLS,SAMARTH SAHAKARI BANK LTD,2
128,SANT,SANT SOPANKAKA SAHAKARI BANK LTD,2
129,SNBK,Saraspur Nagrik Co operative Bank Ltd Saraspur,12
130,SRCB,SARASWAT COOPERATIVE BANK LIMITED,444
131,SDCE,SATARA DISTRICT CENTRAL CO OP BANK LTD,321
132,TSSB,Satara Sahakari Bank Ltd,19
133,SABR,SBER BANK,1
134,STCB,SBM BANK INDIA LIMITED,2
135,SKSB,SHIKSHAK SAHAKARI BANK LIMITED,2
136,SHBK,SHINHAN BANK,7
137,SMCB,Shivalik Small Finance Bank Limited,33
138,CRUB,SHRI CHHATRAPATI RAJASHRI SHAHU URBAN COOPERATIVE BANK LIMITED,47
139,SVSH,Shri Veershaiv Co Op Bank Ltd,31
140,MVCB,SIR M VISVESVARAYA CO OPERATIVE BANK LTD,12
141,SOGE,SOCIETE GENERALE,3
142,SJSB,SOLAPUR JANATA SAHAKARI BANK LIMITED,42
143,SIBL,SOUTH INDIAN BANK,950
144,SECB,SREE CHARAN SOUHARDHA CO OPERATIVE BANK LTD,11
145,SCBL,STANDARD CHARTERED BANK,107
146,SBIN,STATE BANK OF INDIA,27194
147,SUSB,Suco Souharda Sahakari Bank Ltd,29
148,SMBC,SUMITOMO MITSUI BANKING CORPORATION,3
149,SUNB,SURAT NATIONAL COOPERATIVE BANK LIMITED,18
150,SURY,SURYODAY SMALL FINANCE BANK LIMITED,32
151,SUTB,SUTEX COOPERATIVE BANK LIMITED,21
152,TMBL,TAMILNAD MERCANTILE BANK LIMITED,525
153,TSAB,TELANGANA STATE COOP APEX BANK,420
154,TTCB,TEXTILE TRADERS CO-OPERATIVE BANK LIMITED,5
155,APMC,THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED,46
